account_id,tier,created_at,balance,device_mac_hash
acc_1,Standard,2024-02-19,792.33,mac_5358
acc_2,Standard,2024-02-23,1367.48,mac_5144
acc_3,Premium,2024-08-23,3114.3,mac_7214
acc_4,Premium,2024-06-16,5.0,mac_9507
acc_5,Standard,2024-09-04,874.33,mac_9725
acc_6,Standard,2024-10-23,866.01,mac_9626
acc_7,Standard,2025-01-24,2038.15,mac_4224
acc_8,Standard,2023-02-22,1191.82,mac_3229
acc_9,Standard,2023-01-17,1377.09,mac_5109
acc_10,Standard,2023-04-04,109.44,mac_1424
acc_11,Standard,2023-11-18,1438.71,mac_1779
acc_12,Standard,2023-12-17,2179.45,mac_9737
acc_13,Standard,2023-12-05,5.0,mac_4588
acc_14,Premium,2024-06-20,56.0,mac_7021
acc_15,Standard,2024-07-10,1315.36,mac_3994
acc_16,Standard,2024-07-31,1880.06,mac_8470
acc_17,Premium,2023-05-26,1361.27,mac_5627
acc_18,Premium,2024-12-13,5.0,mac_8467
acc_19,Standard,2024-10-09,774.5,mac_6703
acc_20,Standard,2023-08-21,978.36,mac_5031
acc_21,Standard,2023-10-29,2664.97,mac_4051
acc_22,Standard,2025-02-24,756.13,mac_6432
acc_23,Standard,2023-06-22,1063.45,mac_3020
acc_24,Standard,2023-11-11,289.9,mac_2994
acc_25,Standard,2023-09-14,1418.52,mac_1229
acc_26,Metal,2023-07-11,3806.27,mac_3185
acc_27,Metal,2024-01-13,403.41,mac_6054
acc_28,Metal,2025-03-29,2864.01,mac_5701
acc_29,Metal,2024-07-13,2670.77,mac_1068
acc_30,Metal,2023-10-25,3898.1,mac_8858
acc_31,Standard,2025-02-22,3361.62,mac_8958
acc_32,Premium,2023-10-22,4164.15,mac_4550
acc_33,Standard,2024-12-08,2129.58,mac_1038
acc_34,Standard,2025-01-19,1261.13,mac_3785
acc_35,Standard,2024-01-20,1454.07,mac_9183
acc_36,Metal,2023-08-03,2196.76,mac_5327
acc_37,Premium,2024-08-19,1924.79,mac_8298
acc_38,Premium,2024-10-09,1996.56,mac_2035
acc_39,Metal,2024-08-17,2002.32,mac_9894
acc_40,Standard,2024-03-25,4621.06,mac_5748
acc_41,Metal,2023-09-05,5.0,mac_7666
acc_42,Premium,2024-08-22,1732.1,mac_7413
acc_43,Standard,2025-01-19,4234.19,mac_6164
acc_44,Metal,2025-01-02,2185.93,mac_5269
acc_45,Standard,2024-09-14,2246.57,mac_8385
acc_46,Premium,2023-06-11,788.95,mac_8120
acc_47,Standard,2023-05-19,2652.17,mac_4455
acc_48,Premium,2023-09-15,3001.26,mac_2834
acc_49,Premium,2024-08-02,2887.45,mac_1568
acc_50,Standard,2023-06-05,1581.22,mac_7641
acc_51,Premium,2023-07-15,2273.66,mac_4594
acc_52,Metal,2024-03-20,2347.79,mac_8419
acc_53,Standard,2023-11-14,3093.5,mac_1672
acc_54,Standard,2024-08-14,721.62,mac_7496
acc_55,Standard,2023-02-23,3154.33,mac_4966
acc_56,Standard,2023-09-01,3573.56,mac_7788
acc_57,Premium,2023-02-17,735.52,mac_8117
acc_58,Premium,2024-06-06,3561.02,mac_8510
acc_59,Standard,2024-10-16,4377.41,mac_6426
acc_60,Metal,2023-09-03,3506.71,mac_1428
acc_61,Premium,2024-02-08,2517.89,mac_9954
acc_62,Standard,2024-12-10,2268.81,mac_5179
acc_63,Standard,2024-04-15,2062.95,mac_6945
acc_64,Standard,2024-06-13,2398.49,mac_6198
acc_65,Standard,2023-08-12,842.54,mac_7436
acc_66,Metal,2023-04-25,2873.21,mac_4317
acc_67,Standard,2025-03-16,1347.36,mac_9989
acc_68,Premium,2024-08-26,1173.96,mac_4947
acc_69,Standard,2024-03-11,3939.4,mac_6227
acc_70,Standard,2024-10-13,638.53,mac_9443
acc_71,Standard,2024-08-14,4608.32,mac_9806
acc_72,Premium,2024-05-13,732.03,mac_1260
acc_73,Standard,2024-11-04,3625.88,mac_1179
acc_74,Metal,2024-05-05,2486.6,mac_9934
acc_75,Premium,2024-06-18,1366.65,mac_6111
acc_76,Metal,2024-12-16,2618.63,mac_8938
acc_77,Premium,2023-08-24,2159.67,mac_5362
acc_78,Standard,2024-03-10,1224.75,mac_2422
acc_79,Premium,2024-01-27,3022.09,mac_1224
acc_80,Standard,2024-09-02,921.14,mac_5189
acc_81,Standard,2024-04-11,472.16,mac_9328
acc_82,Standard,2022-12-22,4090.7,mac_8402
acc_83,Standard,2024-02-19,2548.73,mac_2622
acc_84,Premium,2024-03-28,2405.29,mac_4065
acc_85,Metal,2023-06-02,1581.67,mac_3157
acc_86,Standard,2024-08-29,3468.53,mac_6082
acc_87,Premium,2024-06-10,3380.18,mac_2387
acc_88,Premium,2025-02-19,1912.77,mac_4467
acc_89,Metal,2024-08-09,2033.83,mac_2773
acc_90,Metal,2023-05-24,3492.37,mac_9293
acc_91,Standard,2025-01-24,3501.44,mac_6827
acc_92,Standard,2024-03-24,3327.96,mac_4589
acc_93,Standard,2025-03-11,5269.19,mac_3998
acc_94,Premium,2024-09-18,2267.1,mac_5045
acc_95,Standard,2024-06-21,2511.81,mac_4770
acc_96,Standard,2024-09-21,3310.05,mac_4893
acc_97,Metal,2023-03-11,2243.37,mac_2571
acc_98,Premium,2023-08-07,3017.26,mac_5762
acc_99,Premium,2025-03-19,1743.27,mac_7333
acc_100,Standard,2023-12-14,2724.88,mac_9344
