swipe_id,account_id,swipe_timestamp,merchant_category,status
swp_1,acc_1,2025-04-12T12:00:00Z,ENTERTAINMENT,APPROVED
swp_2,acc_1,2025-04-21T12:00:00Z,GROCERY,APPROVED
swp_3,acc_1,2025-03-27T12:00:00Z,TRAVEL,APPROVED
swp_4,acc_1,2025-03-22T12:00:00Z,GROCERY,DECLINED
swp_5,acc_1,2025-04-02T12:00:00Z,DINING,DECLINED
swp_6,acc_1,2025-03-20T12:00:00Z,TRAVEL,APPROVED
swp_7,acc_1,2025-04-05T12:00:00Z,ENTERTAINMENT,DECLINED
swp_8,acc_1,2025-04-10T12:00:00Z,TRAVEL,APPROVED
swp_9,acc_1,2025-04-13T12:00:00Z,TRAVEL,APPROVED
swp_10,acc_1,2025-05-05T12:00:00Z,GROCERY,APPROVED
swp_11,acc_2,2025-02-24T12:00:00Z,ENTERTAINMENT,APPROVED
swp_12,acc_3,2025-05-11T12:00:00Z,TRAVEL,DECLINED
swp_13,acc_3,2025-04-13T12:00:00Z,DINING,APPROVED
swp_14,acc_3,2025-05-03T12:00:00Z,DINING,DECLINED
swp_15,acc_4,2025-03-27T12:00:00Z,DINING,APPROVED
swp_16,acc_5,2025-05-13T12:00:00Z,TRAVEL,APPROVED
swp_17,acc_5,2025-02-27T12:00:00Z,GROCERY,APPROVED
swp_18,acc_5,2025-05-04T12:00:00Z,TRAVEL,APPROVED
swp_19,acc_5,2025-05-04T12:00:00Z,DINING,DECLINED
swp_20,acc_5,2025-04-16T12:00:00Z,DINING,APPROVED
swp_21,acc_5,2025-03-13T12:00:00Z,ENTERTAINMENT,APPROVED
swp_22,acc_6,2025-05-14T12:00:00Z,TRAVEL,DECLINED
swp_23,acc_6,2025-06-01T12:00:00Z,DINING,DECLINED
swp_24,acc_6,2025-03-06T12:00:00Z,DINING,DECLINED
swp_25,acc_6,2025-03-18T12:00:00Z,GROCERY,DECLINED
swp_26,acc_6,2025-05-25T12:00:00Z,GROCERY,APPROVED
swp_27,acc_6,2025-02-20T12:00:00Z,TRAVEL,APPROVED
swp_28,acc_6,2025-05-18T12:00:00Z,ENTERTAINMENT,APPROVED
swp_29,acc_6,2025-03-06T12:00:00Z,TRAVEL,APPROVED
swp_30,acc_6,2025-04-06T12:00:00Z,DINING,APPROVED
swp_31,acc_6,2025-03-01T12:00:00Z,TRAVEL,DECLINED
swp_32,acc_7,2025-04-22T12:00:00Z,GROCERY,APPROVED
swp_33,acc_7,2025-05-16T12:00:00Z,TRAVEL,APPROVED
swp_34,acc_7,2025-02-14T12:00:00Z,GROCERY,APPROVED
swp_35,acc_7,2025-03-22T12:00:00Z,DINING,APPROVED
swp_36,acc_7,2025-02-20T12:00:00Z,GROCERY,APPROVED
swp_37,acc_8,2025-04-06T12:00:00Z,TRAVEL,APPROVED
swp_38,acc_8,2025-05-24T12:00:00Z,ENTERTAINMENT,APPROVED
swp_39,acc_8,2025-05-11T12:00:00Z,DINING,APPROVED
swp_40,acc_9,2025-03-01T12:00:00Z,ENTERTAINMENT,APPROVED
swp_41,acc_10,2025-02-13T12:00:00Z,TRAVEL,APPROVED
swp_42,acc_10,2025-03-09T12:00:00Z,TRAVEL,APPROVED
swp_43,acc_10,2025-03-13T12:00:00Z,DINING,APPROVED
swp_44,acc_10,2025-04-06T12:00:00Z,ENTERTAINMENT,APPROVED
swp_45,acc_10,2025-03-06T12:00:00Z,GROCERY,APPROVED
swp_46,acc_10,2025-05-01T12:00:00Z,TRAVEL,APPROVED
swp_47,acc_10,2025-04-25T12:00:00Z,GROCERY,APPROVED
swp_48,acc_10,2025-03-09T12:00:00Z,DINING,APPROVED
swp_49,acc_10,2025-03-21T12:00:00Z,ENTERTAINMENT,APPROVED
swp_50,acc_11,2025-05-21T12:00:00Z,DINING,APPROVED
swp_51,acc_11,2025-05-02T12:00:00Z,DINING,APPROVED
swp_52,acc_11,2025-03-16T12:00:00Z,DINING,DECLINED
swp_53,acc_11,2025-02-17T12:00:00Z,TRAVEL,APPROVED
swp_54,acc_12,2025-04-25T12:00:00Z,TRAVEL,APPROVED
swp_55,acc_12,2025-03-02T12:00:00Z,ENTERTAINMENT,APPROVED
swp_56,acc_12,2025-02-16T12:00:00Z,GROCERY,DECLINED
swp_57,acc_12,2025-03-30T12:00:00Z,ENTERTAINMENT,APPROVED
swp_58,acc_12,2025-05-24T12:00:00Z,DINING,DECLINED
swp_59,acc_12,2025-03-30T12:00:00Z,ENTERTAINMENT,APPROVED
swp_60,acc_12,2025-04-07T12:00:00Z,ENTERTAINMENT,APPROVED
swp_61,acc_12,2025-04-22T12:00:00Z,TRAVEL,DECLINED
swp_62,acc_13,2025-02-24T12:00:00Z,DINING,APPROVED
swp_63,acc_13,2025-04-24T12:00:00Z,DINING,APPROVED
swp_64,acc_14,2025-05-26T12:00:00Z,TRAVEL,APPROVED
swp_65,acc_14,2025-04-29T12:00:00Z,ENTERTAINMENT,APPROVED
swp_66,acc_15,2025-04-16T12:00:00Z,ENTERTAINMENT,APPROVED
swp_67,acc_15,2025-05-23T12:00:00Z,GROCERY,APPROVED
swp_68,acc_15,2025-03-14T12:00:00Z,ENTERTAINMENT,APPROVED
swp_69,acc_15,2025-04-06T12:00:00Z,TRAVEL,APPROVED
swp_70,acc_15,2025-03-29T12:00:00Z,GROCERY,APPROVED
swp_71,acc_16,2025-05-30T12:00:00Z,DINING,APPROVED
swp_72,acc_16,2025-03-30T12:00:00Z,ENTERTAINMENT,APPROVED
swp_73,acc_16,2025-04-04T12:00:00Z,DINING,APPROVED
swp_74,acc_16,2025-03-09T12:00:00Z,DINING,APPROVED
swp_75,acc_16,2025-05-06T12:00:00Z,DINING,APPROVED
swp_76,acc_16,2025-04-21T12:00:00Z,DINING,APPROVED
swp_77,acc_16,2025-03-19T12:00:00Z,GROCERY,APPROVED
swp_78,acc_17,2025-05-02T12:00:00Z,GROCERY,APPROVED
swp_79,acc_18,2025-03-11T12:00:00Z,ENTERTAINMENT,APPROVED
swp_80,acc_18,2025-04-25T12:00:00Z,DINING,APPROVED
swp_81,acc_18,2025-03-13T12:00:00Z,GROCERY,DECLINED
swp_82,acc_18,2025-04-19T12:00:00Z,DINING,APPROVED
