tx_id,account_id,timestamp,amount,tx_type,status
tx_1,acc_51,2026-06-30T15:23:42Z,121.44,DEPOSIT,SUCCESS
tx_2,acc_54,2026-08-28T15:23:42Z,435.28,WITHDRAWAL,SUCCESS
tx_3,acc_8,2026-08-31T15:23:42Z,239.08,P2P,SUCCESS
tx_4,acc_27,2026-08-24T15:23:42Z,270.0,WITHDRAWAL,FAILED
tx_5,acc_27,2026-08-03T15:23:42Z,93.33,DEPOSIT,SUCCESS
tx_6,acc_98,2026-07-08T15:23:42Z,159.57,DEPOSIT,SUCCESS
tx_7,acc_21,2026-08-29T15:23:42Z,118.97,DEPOSIT,SUCCESS
tx_8,acc_30,2026-07-31T15:23:42Z,107.06,WITHDRAWAL,SUCCESS
tx_9,acc_97,2026-08-22T15:23:42Z,320.79,P2P,SUCCESS
tx_10,acc_28,2026-06-19T15:23:42Z,132.16,DEPOSIT,SUCCESS
tx_11,acc_64,2026-06-10T15:23:42Z,317.85,P2P,SUCCESS
tx_12,acc_97,2026-07-29T15:23:42Z,33.94,P2P,SUCCESS
tx_13,acc_69,2026-06-06T15:23:42Z,75.18,WITHDRAWAL,SUCCESS
tx_14,acc_61,2026-07-08T15:23:42Z,140.9,P2P,SUCCESS
tx_15,acc_48,2026-07-31T15:23:42Z,300.54,WITHDRAWAL,SUCCESS
tx_16,acc_19,2026-07-13T15:23:42Z,339.54,WITHDRAWAL,SUCCESS
tx_17,acc_4,2026-08-25T15:23:42Z,224.14,WITHDRAWAL,SUCCESS
tx_18,acc_35,2026-08-24T15:23:42Z,225.67,WITHDRAWAL,SUCCESS
tx_19,acc_64,2026-06-28T15:23:42Z,363.64,DEPOSIT,SUCCESS
tx_20,acc_49,2026-07-06T15:23:42Z,12.83,DEPOSIT,SUCCESS
tx_21,acc_17,2026-06-26T15:23:42Z,173.84,DEPOSIT,SUCCESS
tx_22,acc_44,2026-06-05T15:23:42Z,410.26,WITHDRAWAL,SUCCESS
tx_23,acc_92,2026-06-06T15:23:42Z,303.59,DEPOSIT,SUCCESS
tx_24,acc_30,2026-07-04T15:23:42Z,171.93,P2P,SUCCESS
tx_25,acc_93,2026-06-21T15:23:42Z,453.23,P2P,SUCCESS
tx_26,acc_46,2026-07-09T15:23:42Z,387.45,WITHDRAWAL,FAILED
tx_27,acc_6,2026-06-26T15:23:42Z,136.12,DEPOSIT,FAILED
tx_28,acc_99,2026-07-12T15:23:42Z,324.42,P2P,SUCCESS
tx_29,acc_37,2026-08-24T15:23:42Z,299.9,P2P,SUCCESS
tx_30,acc_24,2026-07-29T15:23:42Z,203.59,P2P,SUCCESS
tx_31,acc_93,2026-07-28T15:23:42Z,186.64,DEPOSIT,SUCCESS
tx_32,acc_46,2026-06-05T15:23:42Z,175.06,WITHDRAWAL,SUCCESS
tx_33,acc_53,2026-06-15T15:23:42Z,310.49,DEPOSIT,SUCCESS
tx_34,acc_95,2026-07-31T15:23:42Z,223.99,DEPOSIT,SUCCESS
tx_35,acc_99,2026-07-17T15:23:42Z,416.77,P2P,SUCCESS
tx_36,acc_60,2026-08-16T15:23:42Z,336.45,P2P,SUCCESS
tx_37,acc_97,2026-06-25T15:23:42Z,39.62,WITHDRAWAL,SUCCESS
tx_38,acc_63,2026-07-26T15:23:42Z,321.88,P2P,SUCCESS
tx_39,acc_85,2026-07-09T15:23:42Z,139.22,WITHDRAWAL,SUCCESS
tx_40,acc_32,2026-06-08T15:23:42Z,298.44,WITHDRAWAL,SUCCESS
tx_41,acc_87,2026-08-18T15:23:42Z,341.67,DEPOSIT,SUCCESS
tx_42,acc_33,2026-07-08T15:23:42Z,119.26,P2P,SUCCESS
tx_43,acc_67,2026-07-15T15:23:42Z,231.15,DEPOSIT,FAILED
tx_44,acc_18,2026-06-11T15:23:42Z,99.21,P2P,SUCCESS
tx_45,acc_25,2026-08-25T15:23:42Z,30.91,P2P,SUCCESS
tx_46,acc_95,2026-06-19T15:23:42Z,192.35,DEPOSIT,SUCCESS
tx_47,acc_54,2026-08-25T15:23:42Z,184.66,WITHDRAWAL,SUCCESS
tx_48,acc_58,2026-07-30T15:23:42Z,497.76,P2P,SUCCESS
tx_49,acc_67,2026-08-09T15:23:42Z,225.94,WITHDRAWAL,FAILED
tx_50,acc_46,2026-06-08T15:23:42Z,170.12,P2P,SUCCESS
tx_51,acc_24,2026-08-13T15:23:42Z,292.34,P2P,SUCCESS
tx_52,acc_32,2026-08-13T15:23:42Z,48.94,WITHDRAWAL,SUCCESS
tx_53,acc_47,2026-07-27T15:23:42Z,481.02,DEPOSIT,SUCCESS
tx_54,acc_86,2026-08-03T15:23:42Z,319.31,P2P,SUCCESS
