event_id,user_id,timestamp,event_type,session_hash
evt_1,usr_1,2026-07-17T05:36:11Z,login,hash_4734
evt_2,usr_1,2026-08-03T10:35:38Z,export,hash_8674
evt_3,usr_1,2026-08-01T07:34:13Z,feature_a,hash_5040
evt_4,usr_1,2026-08-01T11:58:57Z,export,hash_4572
evt_5,usr_1,2026-07-28T20:18:38Z,login,hash_7074
evt_6,usr_1,2026-08-01T18:27:45Z,export,hash_4077
evt_7,usr_1,2026-07-29T23:16:09Z,login,hash_2073
evt_8,usr_1,2026-07-08T17:42:17Z,login,hash_6173
evt_9,usr_1,2026-08-01T10:30:46Z,feature_a,hash_4096
evt_10,usr_1,2026-08-03T09:31:52Z,login,hash_2209
evt_11,usr_1,2026-08-05T08:04:18Z,login,hash_3716
evt_12,usr_1,2026-07-19T04:52:48Z,login,hash_5079
evt_13,usr_1,2026-08-04T18:00:04Z,logout,hash_9660
evt_14,usr_1,2026-07-25T15:20:25Z,login,hash_7766
evt_15,usr_1,2026-07-27T23:35:54Z,login,hash_6043
evt_16,usr_1,2026-07-12T19:46:50Z,feature_a,hash_3927
evt_17,usr_1,2026-07-27T11:12:08Z,feature_a,hash_6578
evt_18,usr_2,2026-08-20T07:18:52Z,login,hash_3172
evt_19,usr_2,2026-08-12T09:20:11Z,login,hash_1545
evt_20,usr_2,2026-08-21T18:58:13Z,feature_b,hash_6052
evt_21,usr_2,2026-08-22T05:13:47Z,feature_a,hash_9548
evt_22,usr_2,2026-08-18T21:19:25Z,export,hash_9951
evt_23,usr_2,2026-06-30T08:35:11Z,feature_b,hash_5232
evt_24,usr_2,2026-08-17T06:57:00Z,login,hash_2666
evt_25,usr_2,2026-08-06T10:50:14Z,logout,hash_8015
evt_26,usr_2,2026-08-07T04:31:06Z,login,hash_5614
evt_27,usr_2,2026-06-06T00:35:45Z,login,hash_1461
evt_28,usr_2,2026-08-23T12:24:48Z,feature_a,hash_3214
evt_29,usr_2,2026-08-19T19:22:38Z,login,hash_1427
evt_30,usr_2,2026-08-19T06:55:37Z,login,hash_1458
evt_31,usr_2,2026-08-22T19:12:27Z,feature_b,hash_5043
evt_32,usr_2,2026-08-23T01:13:50Z,login,hash_2862
evt_33,usr_2,2026-08-22T00:05:13Z,login,hash_3609
evt_34,usr_2,2026-08-11T07:23:05Z,login,hash_2008
