inv_id,user_id,amount,status,due_date
inv_1,usr_1,299.99,PAID,2026-08-26
inv_2,usr_1,29.99,PAID,2026-08-20
inv_3,usr_1,99.99,PAID,2026-08-10
inv_4,usr_1,99.99,PAID,2026-07-06
inv_5,usr_1,29.99,PAID,2026-05-24
inv_6,usr_1,29.99,FAILED,2026-05-22
inv_7,usr_2,99.99,PAID,2026-03-31
inv_8,usr_2,99.99,PAID,2026-06-26
inv_9,usr_2,299.99,PAID,2026-04-15
inv_10,usr_2,99.99,PAID,2026-09-04
inv_11,usr_3,29.99,PAID,2026-04-19
inv_12,usr_3,29.99,PAID,2026-09-02
inv_13,usr_3,29.99,PAID,2026-03-12
inv_14,usr_4,29.99,FAILED,2026-07-19
inv_15,usr_4,29.99,FAILED,2026-03-14
inv_16,usr_4,299.99,PAID,2026-05-31
inv_17,usr_4,99.99,PAID,2026-05-10
inv_18,usr_4,99.99,PAID,2026-07-04
inv_19,usr_4,99.99,PAID,2026-04-07
inv_20,usr_5,99.99,PAID,2026-06-27
inv_21,usr_5,29.99,PAID,2026-07-26
inv_22,usr_6,29.99,FAILED,2026-08-09
inv_23,usr_6,29.99,PAID,2026-07-17
inv_24,usr_6,29.99,FAILED,2026-04-13
inv_25,usr_6,29.99,FAILED,2026-04-13
inv_26,usr_6,99.99,PAID,2026-06-30
inv_27,usr_6,99.99,PAID,2026-04-19
inv_28,usr_7,99.99,PAID,2026-08-25
inv_29,usr_7,29.99,PAID,2026-03-28
inv_30,usr_7,299.99,PAID,2026-06-25
inv_31,usr_7,99.99,FAILED,2026-08-11
inv_32,usr_7,99.99,FAILED,2026-03-25
inv_33,usr_8,99.99,FAILED,2026-09-02
inv_34,usr_8,99.99,PAID,2026-07-06
inv_35,usr_8,99.99,FAILED,2026-07-17
inv_36,usr_8,299.99,PAID,2026-07-08
inv_37,usr_8,99.99,PAID,2026-07-16
inv_38,usr_8,299.99,PAID,2026-09-04
inv_39,usr_9,299.99,PAID,2026-03-10
inv_40,usr_9,29.99,PAID,2026-05-29
inv_41,usr_9,29.99,PAID,2026-06-09
inv_42,usr_9,29.99,PAID,2026-06-23
inv_43,usr_10,99.99,PAID,2026-04-11
inv_44,usr_10,29.99,PAID,2026-06-21
inv_45,usr_11,29.99,PAID,2026-09-02
inv_46,usr_11,29.99,PAID,2026-04-25
inv_47,usr_12,29.99,FAILED,2026-03-19
inv_48,usr_12,29.99,FAILED,2026-07-16
inv_49,usr_12,299.99,FAILED,2026-07-11
inv_50,usr_13,99.99,PAID,2026-06-07
inv_51,usr_13,99.99,PAID,2026-07-07
inv_52,usr_13,99.99,PAID,2026-05-19
inv_53,usr_13,99.99,PAID,2026-04-14
inv_54,usr_14,99.99,PAID,2026-06-13
inv_55,usr_14,299.99,FAILED,2026-07-14
inv_56,usr_15,299.99,PAID,2026-07-24
inv_57,usr_15,29.99,PAID,2026-05-07
inv_58,usr_15,29.99,PAID,2026-03-28
inv_59,usr_15,99.99,PAID,2026-04-29
