user_id,signup_date,tier,ip_address,last_user_agent
usr_1,2026-04-21,Pro,192.168.1.130,Mozilla/5.0
usr_2,2025-11-04,Basic,192.168.1.220,Mozilla/5.0
usr_3,2026-04-17,Enterprise,192.168.1.54,Mozilla/5.0
usr_4,2026-05-22,Enterprise,192.168.1.87,Mozilla/5.0
usr_5,2026-01-25,Pro,192.168.1.229,Mozilla/5.0
usr_6,2026-07-12,Basic,192.168.1.224,Mozilla/5.0
usr_7,2026-04-21,Enterprise,192.168.1.225,Mozilla/5.0
usr_8,2026-04-02,Pro,192.168.1.129,Mozilla/5.0
usr_9,2025-12-30,Enterprise,192.168.1.147,Mozilla/5.0
usr_10,2025-09-05,Enterprise,192.168.1.126,Mozilla/5.0
usr_11,2026-05-06,Basic,192.168.1.130,Mozilla/5.0
usr_12,2026-04-24,Enterprise,192.168.1.53,Mozilla/5.0
usr_13,2026-03-03,Basic,192.168.1.172,Mozilla/5.0
usr_14,2026-03-24,Enterprise,192.168.1.218,Mozilla/5.0
usr_15,2026-03-05,Pro,192.168.1.160,Mozilla/5.0
usr_16,2025-09-27,Enterprise,192.168.1.198,Mozilla/5.0
usr_17,2025-11-17,Basic,192.168.1.160,Mozilla/5.0
usr_18,2025-10-12,Basic,192.168.1.247,Mozilla/5.0
usr_19,2026-01-22,Pro,192.168.1.68,Mozilla/5.0
usr_20,2025-10-29,Enterprise,192.168.1.183,Mozilla/5.0
usr_21,2026-02-22,Enterprise,192.168.1.203,Mozilla/5.0
usr_22,2025-09-22,Pro,192.168.1.184,Mozilla/5.0
usr_23,2026-07-11,Enterprise,192.168.1.123,Mozilla/5.0
usr_24,2025-11-22,Enterprise,192.168.1.145,Mozilla/5.0
usr_25,2025-12-09,Basic,192.168.1.38,Mozilla/5.0
usr_26,2026-06-14,Enterprise,192.168.1.24,Mozilla/5.0
usr_27,2026-06-04,Enterprise,192.168.1.69,Mozilla/5.0
usr_28,2026-02-13,Pro,192.168.1.116,Mozilla/5.0
usr_29,2026-01-26,Pro,192.168.1.98,Mozilla/5.0
usr_30,2025-11-04,Basic,192.168.1.198,Mozilla/5.0
usr_31,2026-01-24,Enterprise,192.168.1.214,Mozilla/5.0
usr_32,2026-02-08,Enterprise,192.168.1.139,Mozilla/5.0
usr_33,2026-06-12,Enterprise,192.168.1.240,Mozilla/5.0
usr_34,2026-06-08,Basic,192.168.1.144,Mozilla/5.0
usr_35,2025-12-01,Basic,192.168.1.97,Mozilla/5.0
usr_36,2025-09-16,Pro,192.168.1.201,Mozilla/5.0
usr_37,2026-03-24,Basic,192.168.1.124,Mozilla/5.0
usr_38,2025-09-29,Enterprise,192.168.1.187,Mozilla/5.0
usr_39,2026-03-20,Enterprise,192.168.1.70,Mozilla/5.0
usr_40,2026-07-12,Basic,192.168.1.208,Mozilla/5.0
usr_41,2025-09-07,Enterprise,192.168.1.93,Mozilla/5.0
usr_42,2026-02-16,Enterprise,192.168.1.3,Mozilla/5.0
usr_43,2025-11-01,Basic,192.168.1.148,Mozilla/5.0
usr_44,2026-05-05,Basic,192.168.1.252,Mozilla/5.0
usr_45,2025-09-20,Enterprise,192.168.1.187,Mozilla/5.0
usr_46,2026-07-19,Enterprise,192.168.1.164,Mozilla/5.0
usr_47,2025-12-03,Enterprise,192.168.1.147,Mozilla/5.0
usr_48,2025-11-10,Pro,192.168.1.90,Mozilla/5.0
usr_49,2026-06-10,Pro,192.168.1.195,Mozilla/5.0
usr_50,2026-05-02,Pro,192.168.1.147,Mozilla/5.0
usr_51,2025-11-11,Basic,192.168.1.148,Mozilla/5.0
usr_52,2026-06-28,Pro,192.168.1.96,Mozilla/5.0
usr_53,2026-01-08,Basic,192.168.1.199,Mozilla/5.0
usr_54,2026-05-13,Basic,192.168.1.52,Mozilla/5.0
usr_55,2026-06-13,Pro,192.168.1.233,Mozilla/5.0
usr_56,2026-07-31,Pro,192.168.1.161,Mozilla/5.0
usr_57,2026-06-09,Pro,192.168.1.168,Mozilla/5.0
usr_58,2026-04-18,Enterprise,192.168.1.128,Mozilla/5.0
usr_59,2025-11-15,Pro,192.168.1.39,Mozilla/5.0
usr_60,2025-09-26,Enterprise,192.168.1.82,Mozilla/5.0
usr_61,2026-01-23,Basic,192.168.1.104,Mozilla/5.0
usr_62,2025-12-27,Enterprise,192.168.1.129,Mozilla/5.0
usr_63,2026-06-19,Pro,192.168.1.11,Mozilla/5.0
usr_64,2026-02-21,Basic,192.168.1.220,Mozilla/5.0
usr_65,2026-01-12,Basic,192.168.1.185,Mozilla/5.0
usr_66,2025-11-05,Basic,192.168.1.217,Mozilla/5.0
usr_67,2025-10-02,Enterprise,192.168.1.178,Mozilla/5.0
usr_68,2025-11-04,Pro,192.168.1.151,Mozilla/5.0
usr_69,2025-12-30,Basic,192.168.1.159,Mozilla/5.0
usr_70,2025-11-23,Basic,192.168.1.222,Mozilla/5.0
usr_71,2026-01-24,Basic,192.168.1.42,Mozilla/5.0
usr_72,2025-10-10,Enterprise,192.168.1.99,Mozilla/5.0
usr_73,2026-01-01,Enterprise,192.168.1.7,Mozilla/5.0
usr_74,2026-01-06,Pro,192.168.1.252,Mozilla/5.0
usr_75,2025-12-08,Enterprise,192.168.1.144,Mozilla/5.0
usr_76,2026-06-10,Basic,192.168.1.90,Mozilla/5.0
usr_77,2025-10-26,Pro,192.168.1.112,Mozilla/5.0
usr_78,2025-12-28,Basic,192.168.1.249,Mozilla/5.0
usr_79,2025-11-23,Basic,192.168.1.244,Mozilla/5.0
usr_80,2026-01-26,Enterprise,192.168.1.60,Mozilla/5.0
usr_81,2026-06-22,Pro,192.168.1.113,Mozilla/5.0
usr_82,2026-02-26,Enterprise,192.168.1.2,Mozilla/5.0
usr_83,2026-07-18,Enterprise,192.168.1.129,Mozilla/5.0
usr_84,2025-10-05,Pro,192.168.1.48,Mozilla/5.0
usr_85,2026-05-29,Basic,192.168.1.254,Mozilla/5.0
usr_86,2025-09-09,Basic,192.168.1.140,Mozilla/5.0
usr_87,2026-07-24,Pro,192.168.1.197,Mozilla/5.0
usr_88,2026-03-26,Basic,192.168.1.37,Mozilla/5.0
usr_89,2026-03-19,Pro,192.168.1.160,Mozilla/5.0
usr_90,2026-05-31,Pro,192.168.1.251,Mozilla/5.0
usr_91,2026-03-16,Enterprise,192.168.1.247,Mozilla/5.0
usr_92,2026-05-13,Pro,192.168.1.9,Mozilla/5.0
usr_93,2026-02-20,Enterprise,192.168.1.233,Mozilla/5.0
usr_94,2025-10-17,Basic,192.168.1.99,Mozilla/5.0
usr_95,2025-11-14,Basic,192.168.1.147,Mozilla/5.0
usr_96,2025-12-14,Basic,192.168.1.48,Mozilla/5.0
usr_97,2026-06-22,Basic,192.168.1.208,Mozilla/5.0
usr_98,2026-07-05,Enterprise,192.168.1.131,Mozilla/5.0
usr_99,2026-03-20,Basic,192.168.1.148,Mozilla/5.0
usr_100,2026-01-13,Pro,192.168.1.152,Mozilla/5.0
