call_id,subscriber_id,call_timestamp,duration_sec,call_status,tower_id
call_1,sub_1,2025-04-15T17:24:49Z,318,COMPLETED,TWR_B
call_2,sub_1,2025-05-03T13:11:56Z,402,COMPLETED,TWR_B
call_3,sub_1,2025-04-30T14:35:22Z,5,COMPLETED,TWR_C
call_4,sub_1,2025-04-20T10:35:18Z,286,COMPLETED,TWR_C
call_5,sub_1,2025-04-29T01:43:30Z,383,COMPLETED,TWR_C
call_6,sub_1,2025-04-27T06:03:40Z,267,COMPLETED,TWR_A
call_7,sub_1,2025-04-30T15:28:56Z,369,DROPPED,TWR_A
call_8,sub_1,2025-04-19T21:21:43Z,5,COMPLETED,TWR_B
call_9,sub_1,2025-04-27T02:13:17Z,49,DROPPED,TWR_A
call_10,sub_1,2025-04-21T10:51:38Z,7,COMPLETED,TWR_C
call_11,sub_1,2025-05-04T10:10:59Z,212,COMPLETED,TWR_C
call_12,sub_1,2025-05-04T00:51:46Z,108,COMPLETED,TWR_A
call_13,sub_1,2025-04-27T00:28:07Z,234,COMPLETED,TWR_C
call_14,sub_2,2025-03-27T14:33:24Z,5,COMPLETED,TWR_B
call_15,sub_2,2025-05-02T04:10:24Z,29,DROPPED,TWR_C
call_16,sub_2,2025-05-01T07:57:36Z,229,COMPLETED,TWR_C
call_17,sub_2,2025-04-20T18:05:05Z,317,COMPLETED,TWR_B
call_18,sub_2,2025-05-01T04:13:24Z,266,DROPPED,TWR_C
call_19,sub_2,2025-05-01T11:44:16Z,414,COMPLETED,TWR_C
call_20,sub_2,2025-05-01T01:37:07Z,615,COMPLETED,TWR_A
call_21,sub_2,2025-04-28T04:24:01Z,49,COMPLETED,TWR_B
call_22,sub_2,2025-04-30T10:38:18Z,241,COMPLETED,TWR_A
call_23,sub_2,2025-03-22T13:06:14Z,5,COMPLETED,TWR_B
call_24,sub_2,2025-04-28T02:14:44Z,388,DROPPED,TWR_C
call_25,sub_2,2025-04-30T08:02:02Z,160,COMPLETED,TWR_C
call_26,sub_2,2025-04-18T15:14:22Z,150,COMPLETED,TWR_A
call_27,sub_2,2025-04-30T15:55:20Z,148,COMPLETED,TWR_B
call_28,sub_2,2025-05-01T11:00:32Z,151,DROPPED,TWR_C
call_29,sub_2,2025-04-30T14:59:50Z,5,COMPLETED,TWR_A
call_30,sub_3,2025-05-02T00:11:34Z,219,COMPLETED,TWR_A
call_31,sub_3,2025-05-14T22:58:11Z,37,COMPLETED,TWR_C
call_32,sub_3,2025-05-02T11:40:58Z,525,COMPLETED,TWR_A
call_33,sub_3,2025-05-15T15:21:52Z,336,COMPLETED,TWR_B
call_34,sub_3,2025-04-28T08:55:00Z,208,DROPPED,TWR_A
call_35,sub_3,2025-05-14T20:17:50Z,58,COMPLETED,TWR_A
call_36,sub_3,2025-05-16T01:21:22Z,106,DROPPED,TWR_A
call_37,sub_3,2025-04-20T16:02:27Z,288,COMPLETED,TWR_C
call_38,sub_3,2025-05-03T07:47:32Z,112,COMPLETED,TWR_A
call_39,sub_3,2025-05-16T06:39:38Z,318,COMPLETED,TWR_A
call_40,sub_3,2025-05-02T07:29:18Z,469,COMPLETED,TWR_C
call_41,sub_3,2025-05-14T20:45:44Z,66,COMPLETED,TWR_A
call_42,sub_3,2025-05-11T13:09:32Z,144,DROPPED,TWR_A
call_43,sub_3,2025-05-03T16:07:42Z,387,COMPLETED,TWR_B
call_44,sub_3,2025-05-02T03:22:01Z,320,COMPLETED,TWR_B
call_45,sub_3,2025-05-12T20:44:23Z,45,DROPPED,TWR_A
call_46,sub_3,2025-05-07T06:44:36Z,5,COMPLETED,TWR_C
call_47,sub_3,2025-05-13T19:47:42Z,269,COMPLETED,TWR_C
call_48,sub_3,2025-05-14T04:42:32Z,8,COMPLETED,TWR_C
call_49,sub_3,2025-05-09T17:24:17Z,421,COMPLETED,TWR_C
call_50,sub_3,2025-05-16T02:42:19Z,231,COMPLETED,TWR_A
call_51,sub_3,2025-05-14T03:18:21Z,242,COMPLETED,TWR_B
call_52,sub_4,2025-05-13T19:46:04Z,5,COMPLETED,TWR_B
call_53,sub_4,2025-05-08T05:39:15Z,302,COMPLETED,TWR_A
call_54,sub_4,2025-04-30T18:47:24Z,5,COMPLETED,TWR_C
call_55,sub_4,2025-04-18T12:02:45Z,5,DROPPED,TWR_A
call_56,sub_4,2025-05-03T00:27:38Z,203,COMPLETED,TWR_A
call_57,sub_4,2025-05-17T09:18:58Z,252,COMPLETED,TWR_C
call_58,sub_4,2025-05-12T17:59:35Z,221,COMPLETED,TWR_C
call_59,sub_5,2025-05-03T00:25:03Z,5,DROPPED,TWR_B
call_60,sub_5,2025-04-24T22:28:03Z,48,COMPLETED,TWR_C
call_61,sub_5,2025-04-25T03:51:28Z,89,COMPLETED,TWR_A
call_62,sub_5,2025-04-29T12:42:50Z,78,COMPLETED,TWR_B
call_63,sub_5,2025-04-13T05:00:27Z,134,COMPLETED,TWR_A
call_64,sub_6,2025-05-08T13:16:08Z,212,COMPLETED,TWR_C
call_65,sub_6,2025-05-12T11:11:20Z,400,COMPLETED,TWR_A
call_66,sub_6,2025-05-14T06:03:19Z,160,COMPLETED,TWR_B
call_67,sub_6,2025-04-16T03:57:58Z,280,COMPLETED,TWR_A
call_68,sub_6,2025-04-27T00:50:19Z,339,COMPLETED,TWR_A
call_69,sub_6,2025-05-06T14:36:13Z,151,COMPLETED,TWR_A
call_70,sub_6,2025-05-13T17:21:33Z,162,COMPLETED,TWR_B
call_71,sub_6,2025-05-15T03:23:17Z,327,COMPLETED,TWR_C
call_72,sub_6,2025-05-12T16:05:54Z,589,COMPLETED,TWR_B
call_73,sub_6,2025-04-14T18:15:42Z,297,COMPLETED,TWR_C
call_74,sub_7,2025-04-22T05:21:38Z,5,DROPPED,TWR_C
call_75,sub_7,2025-04-22T16:15:58Z,5,COMPLETED,TWR_C
call_76,sub_8,2025-04-17T04:24:37Z,285,COMPLETED,TWR_C
call_77,sub_8,2025-05-01T07:26:16Z,107,DROPPED,TWR_A
call_78,sub_8,2025-05-04T21:27:49Z,51,DROPPED,TWR_A
call_79,sub_8,2025-05-12T22:14:54Z,649,COMPLETED,TWR_C
call_80,sub_8,2025-05-12T07:55:40Z,52,COMPLETED,TWR_C
call_81,sub_8,2025-05-12T15:04:51Z,5,COMPLETED,TWR_A
call_82,sub_8,2025-05-11T04:52:26Z,546,COMPLETED,TWR_C
call_83,sub_8,2025-05-08T06:42:25Z,204,COMPLETED,TWR_A
call_84,sub_8,2025-05-01T09:00:57Z,516,DROPPED,TWR_A
call_85,sub_8,2025-05-15T07:31:16Z,5,COMPLETED,TWR_A
call_86,sub_9,2025-04-21T16:31:06Z,479,COMPLETED,TWR_B
call_87,sub_9,2025-04-26T09:00:09Z,111,COMPLETED,TWR_A
