rec_id,subscriber_id,amount,recharge_date
rec_1,sub_32,10,2026-08-25
rec_2,sub_48,20,2026-07-06
rec_3,sub_62,20,2026-07-28
rec_4,sub_4,100,2026-07-15
rec_5,sub_41,20,2026-08-14
rec_6,sub_55,20,2026-08-16
rec_7,sub_73,50,2026-07-08
rec_8,sub_86,100,2026-07-24
rec_9,sub_75,100,2026-08-28
rec_10,sub_42,100,2026-07-04
rec_11,sub_86,50,2026-08-07
rec_12,sub_16,20,2026-07-31
rec_13,sub_86,100,2026-07-23
rec_14,sub_20,100,2026-08-19
rec_15,sub_14,10,2026-07-18
rec_16,sub_32,100,2026-08-15
rec_17,sub_11,20,2026-07-14
rec_18,sub_83,20,2026-07-26
rec_19,sub_83,10,2026-08-26
rec_20,sub_3,100,2026-08-13
rec_21,sub_61,100,2026-08-19
rec_22,sub_61,100,2026-07-06
rec_23,sub_16,50,2026-07-03
rec_24,sub_13,100,2026-08-06
rec_25,sub_100,20,2026-08-18
rec_26,sub_14,20,2026-08-01
rec_27,sub_31,50,2026-07-09
rec_28,sub_32,50,2026-08-28
rec_29,sub_36,100,2026-07-03
rec_30,sub_55,10,2026-07-24
rec_31,sub_3,50,2026-08-24
rec_32,sub_16,50,2026-08-07
rec_33,sub_55,100,2026-08-19
rec_34,sub_48,100,2026-07-31
rec_35,sub_38,50,2026-07-04
rec_36,sub_63,10,2026-07-25
rec_37,sub_79,50,2026-07-25
rec_38,sub_4,100,2026-07-07
rec_39,sub_79,100,2026-08-04
rec_40,sub_4,50,2026-07-10
rec_41,sub_61,10,2026-08-02
rec_42,sub_1,50,2026-08-29
rec_43,sub_61,50,2026-08-04
rec_44,sub_63,100,2026-08-29
rec_45,sub_59,10,2026-07-18
rec_46,sub_41,20,2026-07-09
rec_47,sub_20,10,2026-07-29
rec_48,sub_58,50,2026-08-16
rec_49,sub_73,50,2026-08-10
rec_50,sub_9,50,2026-07-31
rec_51,sub_42,10,2026-07-25
rec_52,sub_13,100,2026-08-24
rec_53,sub_81,50,2026-07-08
rec_54,sub_31,50,2026-08-24
rec_55,sub_31,10,2026-07-06
rec_56,sub_5,20,2026-08-26
rec_57,sub_63,20,2026-08-18
rec_58,sub_48,100,2026-07-31
rec_59,sub_8,100,2026-07-28
rec_60,sub_51,50,2026-08-22
rec_61,sub_40,10,2026-08-29
rec_62,sub_75,50,2026-07-04
rec_63,sub_40,100,2026-08-20
rec_64,sub_16,10,2026-07-14
rec_65,sub_64,10,2026-07-04
rec_66,sub_59,100,2026-08-01
rec_67,sub_11,20,2026-08-03
rec_68,sub_1,20,2026-08-27
rec_69,sub_75,10,2026-07-11
rec_70,sub_42,50,2026-08-07
rec_71,sub_8,20,2026-07-22
rec_72,sub_41,50,2026-08-01
rec_73,sub_63,20,2026-08-11
rec_74,sub_68,20,2026-07-05
rec_75,sub_31,50,2026-08-12
rec_76,sub_7,100,2026-07-24
rec_77,sub_8,20,2026-08-10
rec_78,sub_53,20,2026-08-28
rec_79,sub_83,50,2026-08-19
rec_80,sub_60,100,2026-07-18
rec_81,sub_9,20,2026-07-21
rec_82,sub_83,20,2026-07-13
rec_83,sub_20,100,2026-07-14
rec_84,sub_79,20,2026-08-12
rec_85,sub_38,100,2026-07-11
rec_86,sub_3,100,2026-08-19
rec_87,sub_11,50,2026-08-15
rec_88,sub_14,10,2026-07-09
rec_89,sub_64,100,2026-07-27
rec_90,sub_79,50,2026-07-30
rec_91,sub_58,10,2026-08-31
rec_92,sub_40,20,2026-08-17
rec_93,sub_16,10,2026-08-19
rec_94,sub_88,100,2026-08-15
rec_95,sub_62,100,2026-08-08
rec_96,sub_58,100,2026-07-05
rec_97,sub_63,100,2026-08-24
rec_98,sub_13,100,2026-07-13
rec_99,sub_4,50,2026-08-05
rec_100,sub_58,100,2026-07-18
rec_101,sub_68,50,2026-08-09
rec_102,sub_62,20,2026-07-17
rec_103,sub_31,100,2026-08-24
rec_104,sub_32,100,2026-08-24
rec_105,sub_20,10,2026-07-04
rec_106,sub_68,20,2026-08-06
rec_107,sub_14,100,2026-07-16
rec_108,sub_41,100,2026-07-04
rec_109,sub_14,20,2026-08-19
rec_110,sub_61,50,2026-07-24
rec_111,sub_68,100,2026-07-26
rec_112,sub_42,10,2026-07-14
rec_113,sub_79,100,2026-08-04
rec_114,sub_62,10,2026-08-07
rec_115,sub_22,10,2026-08-16
rec_116,sub_51,100,2026-07-08
rec_117,sub_63,100,2026-08-30
rec_118,sub_73,10,2026-07-09
rec_119,sub_63,20,2026-08-14
rec_120,sub_31,20,2026-08-15
rec_121,sub_88,100,2026-08-02
rec_122,sub_68,50,2026-07-24
rec_123,sub_4,20,2026-08-19
rec_124,sub_32,100,2026-07-31
rec_125,sub_7,20,2026-07-13
rec_126,sub_41,50,2026-08-03
rec_127,sub_13,100,2026-07-17
rec_128,sub_39,50,2026-08-02
rec_129,sub_53,100,2026-08-14
rec_130,sub_5,50,2026-08-19
rec_131,sub_60,20,2026-07-20
rec_132,sub_39,20,2026-08-11
rec_133,sub_88,50,2026-08-02
rec_134,sub_3,50,2026-08-11
rec_135,sub_13,50,2026-07-15
rec_136,sub_88,100,2026-07-08
rec_137,sub_53,20,2026-08-15
rec_138,sub_40,100,2026-07-23
rec_139,sub_39,20,2026-08-13
rec_140,sub_48,10,2026-07-11
rec_141,sub_51,100,2026-08-17
rec_142,sub_14,20,2026-08-23
rec_143,sub_65,20,2026-07-11
rec_144,sub_59,100,2026-08-22
rec_145,sub_7,100,2026-07-19
rec_146,sub_7,20,2026-08-01
rec_147,sub_41,100,2026-07-10
rec_148,sub_16,50,2026-08-09
rec_149,sub_5,100,2026-07-11
rec_150,sub_86,100,2026-08-02
rec_151,sub_40,100,2026-07-30
rec_152,sub_79,20,2026-07-06
rec_153,sub_53,50,2026-07-11
rec_154,sub_22,10,2026-08-23
rec_155,sub_14,10,2026-07-09
rec_156,sub_63,50,2026-07-16
rec_157,sub_14,50,2026-08-31
rec_158,sub_38,50,2026-07-19
rec_159,sub_58,20,2026-07-28
rec_160,sub_38,10,2026-08-21
rec_161,sub_48,50,2026-07-29
rec_162,sub_14,20,2026-08-16
rec_163,sub_41,10,2026-08-23
rec_164,sub_100,100,2026-07-31
rec_165,sub_7,20,2026-08-17
rec_166,sub_48,10,2026-08-20
rec_167,sub_85,20,2026-07-30
rec_168,sub_53,10,2026-07-18
rec_169,sub_85,10,2026-08-18
rec_170,sub_13,100,2026-07-06
rec_171,sub_42,20,2026-07-06
rec_172,sub_39,50,2026-08-24
rec_173,sub_1,100,2026-08-24
rec_174,sub_9,100,2026-08-05
rec_175,sub_5,10,2026-08-20
rec_176,sub_1,50,2026-08-31
rec_177,sub_31,20,2026-07-20
rec_178,sub_83,50,2026-07-23
