subscriber_id,plan,region,tenure_months,sim_imsi_hash
sub_1,Prepaid,East,31,imsi_30818
sub_2,Postpaid,East,30,imsi_17648
sub_3,Postpaid,South,4,imsi_97575
sub_4,Prepaid,South,17,imsi_32730
sub_5,Postpaid,East,17,imsi_50755
sub_6,Prepaid,East,28,imsi_98594
sub_7,Prepaid,North,20,imsi_80720
sub_8,Postpaid,North,27,imsi_81654
sub_9,Postpaid,West,21,imsi_69090
sub_10,Prepaid,West,14,imsi_91773
sub_11,Prepaid,South,10,imsi_28747
sub_12,Prepaid,East,41,imsi_82324
sub_13,Prepaid,South,32,imsi_65825
sub_14,Prepaid,East,22,imsi_47598
sub_15,Postpaid,South,13,imsi_26690
sub_16,Postpaid,East,12,imsi_57295
sub_17,Postpaid,East,35,imsi_19789
sub_18,Postpaid,East,26,imsi_73291
sub_19,Prepaid,West,14,imsi_71818
sub_20,Postpaid,South,30,imsi_73165
sub_21,Prepaid,North,22,imsi_10664
sub_22,Prepaid,South,29,imsi_60472
sub_23,Prepaid,North,30,imsi_93688
sub_24,Postpaid,North,34,imsi_10672
sub_25,Prepaid,North,39,imsi_87215
sub_26,Postpaid,East,30,imsi_97212
sub_27,Postpaid,East,61,imsi_40206
sub_28,Prepaid,West,11,imsi_41090
sub_29,Postpaid,South,31,imsi_98384
sub_30,Postpaid,South,62,imsi_14784
sub_31,Postpaid,South,56,imsi_70198
sub_32,Postpaid,North,41,imsi_67434
sub_33,Prepaid,North,53,imsi_81755
sub_34,Prepaid,East,10,imsi_59763
sub_35,Prepaid,East,52,imsi_31619
sub_36,Prepaid,South,15,imsi_64601
sub_37,Prepaid,South,10,imsi_61438
sub_38,Postpaid,North,26,imsi_80965
sub_39,Prepaid,West,61,imsi_24615
sub_40,Prepaid,South,40,imsi_19140
sub_41,Prepaid,East,20,imsi_24847
sub_42,Postpaid,North,69,imsi_91924
sub_43,Prepaid,West,59,imsi_86619
sub_44,Prepaid,West,17,imsi_76889
sub_45,Postpaid,North,44,imsi_22044
sub_46,Postpaid,South,49,imsi_31745
sub_47,Postpaid,South,45,imsi_24981
sub_48,Prepaid,West,55,imsi_61923
sub_49,Postpaid,West,30,imsi_22709
sub_50,Prepaid,North,27,imsi_92163
sub_51,Postpaid,North,11,imsi_48602
sub_52,Postpaid,North,46,imsi_48496
sub_53,Prepaid,North,43,imsi_42693
sub_54,Prepaid,West,12,imsi_72695
sub_55,Postpaid,South,64,imsi_92473
sub_56,Prepaid,South,25,imsi_76205
sub_57,Postpaid,South,9,imsi_16602
sub_58,Postpaid,West,19,imsi_84374
sub_59,Postpaid,West,18,imsi_20774
sub_60,Postpaid,North,23,imsi_53635
sub_61,Postpaid,South,24,imsi_11164
sub_62,Postpaid,North,20,imsi_66504
sub_63,Postpaid,South,53,imsi_56218
sub_64,Prepaid,West,55,imsi_59416
sub_65,Prepaid,South,34,imsi_30601
sub_66,Postpaid,North,36,imsi_51067
sub_67,Prepaid,South,40,imsi_19016
sub_68,Postpaid,East,47,imsi_28240
sub_69,Prepaid,South,6,imsi_38132
sub_70,Prepaid,South,24,imsi_49670
sub_71,Prepaid,South,7,imsi_32472
sub_72,Prepaid,South,22,imsi_46585
sub_73,Prepaid,South,37,imsi_32463
sub_74,Postpaid,North,19,imsi_29089
sub_75,Prepaid,West,38,imsi_10338
sub_76,Prepaid,East,16,imsi_12867
sub_77,Prepaid,West,7,imsi_41260
sub_78,Prepaid,North,44,imsi_55128
sub_79,Postpaid,North,58,imsi_98758
sub_80,Postpaid,South,57,imsi_63198
sub_81,Postpaid,South,3,imsi_64193
sub_82,Prepaid,East,12,imsi_93011
sub_83,Postpaid,East,34,imsi_32638
sub_84,Prepaid,West,3,imsi_60657
sub_85,Prepaid,West,31,imsi_86930
sub_86,Prepaid,West,5,imsi_44874
sub_87,Prepaid,East,55,imsi_34415
sub_88,Prepaid,South,3,imsi_10199
sub_89,Prepaid,West,41,imsi_63280
sub_90,Prepaid,West,34,imsi_17890
sub_91,Prepaid,West,32,imsi_83044
sub_92,Postpaid,South,52,imsi_32596
sub_93,Postpaid,West,27,imsi_79334
sub_94,Postpaid,North,23,imsi_48864
sub_95,Postpaid,West,24,imsi_65484
sub_96,Postpaid,North,24,imsi_25387
sub_97,Prepaid,North,18,imsi_70806
sub_98,Prepaid,North,60,imsi_87957
sub_99,Prepaid,North,42,imsi_95193
sub_100,Postpaid,South,56,imsi_12162
